"teamid","kaggleid","teamname"
"41","0","connecticut-huskies"
"42","0","hartford-hawks"
"45","0","george-washington-colonials"
"58","0","south-florida-bulls"
"97","0","louisville-cardinals"
"113","0","massachusetts-minutemen"
"160","0","new-hampshire-wildcats"
"164","0","rutgers-scarlet-knights"
"218","0","temple-owls"
"227","0","rhode-island-rams"
"235","0","memphis-tigers"
"248","0","houston-cougars"
"257","0","richmond-spiders"
"261","0","vermont-catamounts"
"311","0","maine-black-bears"
"399","0","albany-great-danes"
"2066","0","binghamton-bearcats"
"2116","0","ucf-knights"
"2132","0","cincinnati-bearcats"
"2168","0","dayton-flyers"
"2184","0","duquesne-dukes"
"2230","0","fordham-rams"
"2244","0","george-mason-patriots"
"2325","0","la-salle-explorers"
"2349","0","massachusetts-lowell-river-hawks"
"2378","0","umbc-retrievers"
"2567","0","southern-methodist-mustangs"
"2619","0","stony-brook-seawolves"
